Employee_ID	First_Name	Last_Name	Division	Department	DOJ	Working_hrs	Hourly_rate	
GW29	Sara	Kling	Maine	Sales	1986-12-24	35.50	12.50	"('GW29','Sara','Kling','Maine','Sales','1986-12-24',35.5,12.5),"
GBW09	Sean	Willis	Connecticut	Sales	1985-7-5	35.50	13.30	"('GBW09','Sean','Willis','Connecticut','Sales','1985-7-5',35.5,13.3),"
CW58	Colleen	Abel	New Hampshire	Sales	1990-7-26	42.00	16.75	"('CW58','Colleen','Abel','New Hampshire','Sales','1990-7-26',42,16.75),"
AW55	Teri	Binga	Vermont	Sales	1988-6-7	40.00	8.75	"('AW55','Teri','Binga','Vermont','Sales','1988-6-7',40,8.75),"
GBC07	Frank	Culbert	Connecticut	Development	1983-6-12	40.00	12.60	"('GBC07','Frank','Culbert','Connecticut','Development','1983-6-12',40,12.6),"
GBS45	Kristen	DeVinney	Connecticut	Staff	1987-6-5	35.00	24.00	"('GBS45','Kristen','DeVinney','Connecticut','Staff','1987-6-5',35,24),"
CW19	Theresa	Califano	New Hampshire	Sales	1989-2-26	35.00	12.10	"('CW19','Theresa','Califano','New Hampshire','Sales','1989-2-26',35,12.1),"
GC04	Barry	Bally	Maine	Development	1983-4-15	40.00	21.50	"('GC04','Barry','Bally','Maine','Development','1983-4-15',40,21.5),"
CA26	Cheryl	Halal	New Hampshire	Research	1990-2-1	35.50	13.30	"('CA26','Cheryl','Halal','New Hampshire','Research','1990-2-1',35.5,13.3),"
GC25	Harry	Swayne	Maine	Development	1990-12-30	40.00	21.50	"('GC25','Harry','Swayne','Maine','Development','1990-12-30',40,21.5),"
GBC05	Shing	Chen	Connecticut	Development	1984-8-8	35.50	13.30	"('GBC05','Shing','Chen','Connecticut','Development','1984-8-8',35.5,13.3),"
CC76	Seth	Rose	New Hampshire	Development	1990-4-5	32.00	5.50	"('CC76','Seth','Rose','New Hampshire','Development','1990-4-5',32,5.5),"
GW14	Bob	Ambrose	Maine	Sales	1985-1-25	35.50	12.50	"('GW14','Bob','Ambrose','Maine','Sales','1985-1-25',35.5,12.5),"
GBS59	Chris	Hume	Connecticut	Staff	1988-5-12	40.00	7.22	"('GBS59','Chris','Hume','Connecticut','Staff','1988-5-12',40,7.22),"
GBW47	Robert	Murray	Connecticut	Sales	1987-6-10	40.00	12.60	"('GBW47','Robert','Murray','Connecticut','Sales','1987-6-10',40,12.6),"
GBC11	James	Rich	Connecticut	Development	1986-10-11	35.50	13.30	"('GBC11','James','Rich','Connecticut','Development','1986-10-11',35.5,13.3),"
CA18	George	Gorski	New Hampshire	Research	1985-5-7	40.00	22.00	"('CA18','George','Gorski','New Hampshire','Research','1985-5-7',40,22),"
GBS57	Paul	Hoffman	Connecticut	Staff	1987-12-19	40.00	22.00	"('GBS57','Paul','Hoffman','Connecticut','Staff','1987-12-19',40,22),"
AC49	Dean	Kramer	Vermont	Development	1987-6-23	40.00	15.00	"('AC49','Dean','Kramer','Vermont','Development','1987-6-23',40,15),"
GW18	Carol	Hill	Maine	Sales	1986-7-21	35.50	12.50	"('GW18','Carol','Hill','Maine','Sales','1986-7-21',35.5,12.5),"
GBA19	Julia	Smith	Connecticut	Research	1984-2-17	25.00	8.52	"('GBA19','Julia','Smith','Connecticut','Research','1984-2-17',25,8.52),"
AS03	Jacqueline	Banks	Vermont	Staff	1984-2-2	40.00	8.75	"('AS03','Jacqueline','Banks','Vermont','Staff','1984-2-2',40,8.75),"
GW04	Jeffrey	Strong	Maine	Sales	1981-3-8	40.00	19.50	"('GW04','Jeffrey','Strong','Maine','Sales','1981-3-8',40,19.5),"
AW07	Jeri Lynn	MacFall	Vermont	Sales	1984-4-8	40.00	21.50	"('AW07','Jeri Lynn','MacFall','Vermont','Sales','1984-4-8',40,21.5),"
GA49	Sung	Kim	Maine	Research	1989-11-15	40.00	15.50	"('GA49','Sung','Kim','Maine','Research','1989-11-15',40,15.5),"
CA80	Theodore	Ness	New Hampshire	Research	1991-8-4	32.00	5.50	"('CA80','Theodore','Ness','New Hampshire','Research','1991-8-4',32,5.5),"
GW15	Brad	Hinkelman	Maine	Sales	1985-11-8	40.00	19.50	"('GW15','Brad','Hinkelman','Maine','Sales','1985-11-8',40,19.5),"
GBC08	Robert	Cuffaro	Connecticut	Development	1983-9-18	40.00	12.60	"('GBC08','Robert','Cuffaro','Connecticut','Development','1983-9-18',40,12.6),"
CS15	Donald	Reese	New Hampshire	Staff	1984-8-17	32.00	5.50	"('CS15','Donald','Reese','New Hampshire','Staff','1984-8-17',32,5.5),"
AW09	Joanne	Parker	Vermont	Sales	1984-8-23	40.00	21.50	"('AW09','Joanne','Parker','Vermont','Sales','1984-8-23',40,21.5),"
GBA34	Susan	Drake	Connecticut	Research	1989-12-13	25.00	8.52	"('GBA34','Susan','Drake','Connecticut','Research','1989-12-13',25,8.52),"
GBC29	James	Abel	Connecticut	Development	1991-2-5	35.00	12.10	"('GBC29','James','Abel','Connecticut','Development','1991-2-5',35,12.1),"
